user_id,order_hour_of_day,quantity
1,7,20
1,8,23
1,9,12
1,12,11
1,14,10
1,15,13
1,16,1
2,9,29
2,10,35
2,11,51
2,12,14
2,15,8
3,14,14
3,15,17
3,16,29
3,17,11
3,18,11
3,19,5
4,11,19
4,12,14
4,13,14
4,15,14
5,11,1
5,12,1
5,16,14
5,18,16
6,16,18
6,18,14
7,7,3
7,9,29
7,10,7
7,11,4
7,12,11
7,13,13
7,14,12
7,15,24
7,16,8
7,18,21
7,19,10
7,20,13
8,0,24
8,8,9
8,14,14
9,10,4
9,12,8
9,14,7
9,17,12
10,14,5
10,15,19
10,19,18
10,20,1
11,9,11
11,10,9
11,11,43
11,13,7
12,8,8
12,9,33
12,12,4
12,20,2
13,8,2
13,11,6
13,12,7
13,13,10
13,14,8
13,17,8
13,18,27
13,21,15
13,22,11
14,5,20
14,8,40
14,9,23
14,10,12
14,14,8
14,18,14
14,19,6
14,21,8
15,8,4
15,9,34
15,10,18
15,11,31
15,12,17
15,13,20
15,15,7
15,16,14
15,17,7
16,8,8
16,13,4
16,14,18
16,20,8
17,9,8
17,10,31
17,11,28
17,12,48
17,13,45
17,14,30
17,15,33
17,16,14
17,17,27
17,21,8
17,22,12
17,23,9
18,9,10
18,12,12
18,16,16
18,17,10
18,18,9
18,19,9
19,4,14
19,12,12
19,13,7
19,14,3
19,16,12
19,17,6
20,10,3
20,11,21
20,16,2
21,6,1
21,8,25
21,9,71
21,10,39
21,11,30
21,12,8
21,13,31
21,14,16
21,15,28
22,6,2
22,7,17
22,8,8
22,9,2
22,10,20
22,11,13
22,12,14
22,15,11
22,17,3
22,19,23
22,21,19
23,10,6
23,11,7
23,12,17
23,14,6
24,8,39
24,9,4
24,10,15
24,11,25
24,14,11
24,16,34
24,17,9
24,20,32
24,21,11
25,14,2
25,15,9
25,19,6
25,20,13
26,9,19
26,10,9
26,11,25
26,13,13
26,14,16
26,15,12
26,17,18
26,20,1
27,8,51
27,9,66
27,10,83
27,11,51
27,12,1
27,13,67
27,14,176
27,15,121
27,16,56
27,17,17
28,7,3
28,12,10
28,13,26
28,14,11
28,15,17
28,16,40
28,17,45
28,19,12
29,8,40
29,9,2
29,10,5
29,11,59
29,12,7
29,13,26
30,6,11
30,8,4
30,10,14
30,11,1
30,13,6
30,19,7
30,22,13
31,7,5
31,8,26
31,9,21
31,11,38
31,12,20
31,13,21
31,16,11
31,17,13
32,9,14
32,10,4
32,12,23
32,13,11
32,23,6
33,14,11
33,16,6
33,17,6
33,19,7
34,7,3
34,11,13
34,13,3
34,14,4
34,15,13
35,9,3
35,10,8
35,15,13
35,16,21
35,17,12
35,18,12
35,20,5
35,21,4
36,7,10
36,8,23
36,9,27
36,10,4
36,11,29
36,12,48
36,14,3
36,15,40
36,16,13
36,17,38
36,18,18
36,19,8
36,21,22
37,1,9
37,10,7
37,11,11
37,12,1
37,13,11
37,14,41
37,15,10
37,16,43
37,17,19
37,18,8
37,19,18
37,22,8
38,0,12
38,8,11
38,9,17
38,10,11
38,11,8
38,12,8
38,13,10
38,14,14
38,16,11
38,18,4
39,10,4
39,12,5
39,13,8
39,15,2
